Bivariate analysis PAD possibly useful input

Predictor 1      Univariate performance    Predictor 2      Univariate performance    Bivariate performance
ps_ind_01        52.83                     ps_car_07_cat    52.26                     54.68                
ps_car_06_cat    54.08                     ps_car_09_cat    51.44                     54.67                
ps_ind_01        52.83                     ps_reg_01        53.7                      54.65                
ps_ind_01        52.83                     ps_car_11_cat    53.68                     54.64                
ps_ind_05_cat    52.67                     ps_car_07_cat    52.26                     54.64                
ps_ind_17_bin    53.25                     ps_car_08_cat    51.82                     54.64                
ps_ind_01        52.83                     ps_ind_05_cat    52.67                     54.62                
ps_car_03_cat    53.95                     ps_car_11        51.35                     54.61                
ps_car_04_cat    53.58                     ps_car_11        51.35                     54.59                
ps_ind_07_bin    54.02                     ps_car_11        51.35                     54.59                
ps_car_05_cat    53.07                     ps_car_07_cat    52.26                     54.54                
ps_ind_03        53.93                     ps_ind_08_bin    51.28                     54.53                
ps_car_04_cat    53.58                     ps_car_09_cat    51.44                     54.53                
ps_car_03_cat    53.95                     ps_car_08_cat    51.82                     54.53                
ps_reg_01        53.7                      ps_car_08_cat    51.82                     54.52                
ps_ind_03        53.93                     ps_ind_04_cat    51.26                     54.52                
ps_ind_04_cat    51.26                     ps_car_06_cat    54.08                     54.51                
ps_ind_04_cat    51.26                     ps_car_03_cat    53.95                     54.51                
ps_ind_16_bin    53.57                     ps_car_08_cat    51.82                     54.5                 
ps_ind_03        53.93                     ps_car_11        51.35                     54.45                
ps_ind_08_bin    51.28                     ps_car_03_cat    53.95                     54.44                
ps_ind_03        53.93                     ps_car_09_cat    51.44                     54.43                
ps_car_03_cat    53.95                     ps_car_05_cat    53.07                     54.41                
ps_car_02_cat    53.19                     ps_car_08_cat    51.82                     54.39                
ps_car_08_cat    51.82                     ps_car_11_cat    53.68                     54.39                
ps_car_05_cat    53.07                     ps_car_09_cat    51.44                     54.38                
ps_ind_08_bin    51.28                     ps_car_04_cat    53.58                     54.36                
ps_ind_15        53.48                     ps_car_08_cat    51.82                     54.35                
ps_ind_08_bin    51.28                     ps_reg_01        53.7                      54.35                
ps_ind_04_cat    51.26                     ps_ind_07_bin    54.02                     54.34                
ps_ind_04_cat    51.26                     ps_ind_16_bin    53.57                     54.28                
ps_ind_01        52.83                     ps_car_05_cat    53.07                     54.28                
ps_ind_08_bin    51.28                     ps_car_11_cat    53.68                     54.27                
ps_ind_01        52.83                     ps_car_08_cat    51.82                     54.24                
ps_ind_17_bin    53.25                     ps_car_11        51.35                     54.24                
ps_ind_16_bin    53.57                     ps_ind_17_bin    53.25                     54.24                
ps_ind_08_bin    51.28                     ps_ind_16_bin    53.57                     54.23                
ps_car_06_cat    54.08                     ps_car_11        51.35                     54.23                
ps_ind_16_bin    53.57                     ps_car_09_cat    51.44                     54.21                
ps_ind_16_bin    53.57                     ps_car_11        51.35                     54.2                 
ps_ind_04_cat    51.26                     ps_ind_17_bin    53.25                     54.16                
ps_ind_08_bin    51.28                     ps_car_02_cat    53.19                     54.14                
ps_ind_04_cat    51.26                     ps_car_02_cat    53.19                     54.13                
ps_ind_08_bin    51.28                     ps_ind_17_bin    53.25                     54.12                
ps_ind_08_bin    51.28                     ps_ind_15        53.48                     54.09                
ps_reg_01        53.7                      ps_car_09_cat    51.44                     54.09                
ps_car_09_cat    51.44                     ps_car_11_cat    53.68                     54.09                
ps_ind_05_cat    52.67                     ps_car_08_cat    51.82                     54.08                
ps_reg_01        53.7                      ps_car_11        51.35                     54.08                
ps_ind_04_cat    51.26                     ps_ind_15        53.48                     54.06                
ps_ind_04_cat    51.26                     ps_car_11_cat    53.68                     54.05                
ps_ind_04_cat    51.26                     ps_reg_01        53.7                      54.01                
ps_ind_15        53.48                     ps_car_09_cat    51.44                     53.99                
ps_car_11_cat    53.68                     ps_car_11        51.35                     53.99                
ps_car_05_cat    53.07                     ps_car_08_cat    51.82                     53.91                
ps_ind_17_bin    53.25                     ps_car_09_cat    51.44                     53.91                
ps_ind_15        53.48                     ps_car_11        51.35                     53.88                
ps_car_02_cat    53.19                     ps_car_09_cat    51.44                     53.83                
ps_ind_05_cat    52.67                     ps_car_09_cat    51.44                     53.81                
ps_ind_05_cat    52.67                     ps_car_11        51.35                     53.75                
ps_car_07_cat    52.26                     ps_car_11        51.35                     53.67                
ps_ind_04_cat    51.26                     ps_car_07_cat    52.26                     53.67                
ps_car_02_cat    53.19                     ps_car_11        51.35                     53.62                
ps_car_07_cat    52.26                     ps_car_08_cat    51.82                     53.62                
ps_ind_05_cat    52.67                     ps_ind_08_bin    51.28                     53.62                
ps_ind_08_bin    51.28                     ps_car_05_cat    53.07                     53.59                
ps_car_05_cat    53.07                     ps_car_11        51.35                     53.58                
ps_ind_04_cat    51.26                     ps_car_05_cat    53.07                     53.53                
ps_ind_01        52.83                     ps_car_09_cat    51.44                     53.48                
ps_ind_04_cat    51.26                     ps_ind_05_cat    52.67                     53.38                
ps_ind_01        52.83                     ps_ind_04_cat    51.26                     53.37                
ps_ind_08_bin    51.28                     ps_car_07_cat    52.26                     53.29                
ps_car_07_cat    52.26                     ps_car_09_cat    51.44                     53.16                
ps_ind_01        52.83                     ps_ind_08_bin    51.28                     53.15                
ps_ind_01        52.83                     ps_car_11        51.35                     53.13                
ps_ind_08_bin    51.28                     ps_car_08_cat    51.82                     52.88                
ps_car_08_cat    51.82                     ps_car_09_cat    51.44                     52.79                
ps_car_08_cat    51.82                     ps_car_11        51.35                     52.72                
ps_ind_04_cat    51.26                     ps_car_08_cat    51.82                     52.64                
ps_ind_04_cat    51.26                     ps_ind_08_bin    51.28                     52.59                
ps_ind_04_cat    51.26                     ps_car_11        51.35                     52.33                
ps_ind_08_bin    51.28                     ps_car_11        51.35                     52.31                
ps_ind_08_bin    51.28                     ps_car_09_cat    51.44                     52.27                
ps_ind_04_cat    51.26                     ps_car_09_cat    51.44                     52.26                
ps_car_09_cat    51.44                     ps_car_11        51.35                     52.17                
ps_ind_04_cat    51.26                     ps_ind_06_bin    54.5                      0                    
ps_ind_04_cat    51.26                     ps_reg_02        55.67                     0                    
ps_ind_04_cat    51.26                     ps_reg_03        55.87                     0                    
ps_ind_04_cat    51.26                     ps_car_15        54.4                      0                    
ps_ind_06_bin    54.5                      ps_ind_08_bin    51.28                     0                    
ps_ind_08_bin    51.28                     ps_car_13        57.43                     0                    
ps_car_02_cat    53.19                     ps_car_13        57.43                     0                    
ps_car_03_cat    53.95                     ps_car_09_cat    51.44                     0                    
ps_car_08_cat    51.82                     ps_car_13        57.43                     0                    
ps_car_08_cat    51.82                     ps_car_15        54.4                      0                    
ps_car_11        51.35                     ps_car_13        57.43                     0                    
ps_car_11        51.35                     ps_car_15        54.4                      0                    
